Day,TempMax
2002-05-09,39.75249634
2002-05-10,32.03991089
2002-05-11,29.62633667
2002-05-12,31.90325317
2002-05-13,34.17070923
2002-05-14,34.82027588
2002-05-15,33.02263794
2002-05-16,33.88128052
2002-05-17,34.8802124
2002-05-18,34.87987671
2002-05-19,33.60064087
2002-05-20,33.95665894
2002-05-21,34.79482422
2002-05-22,31.62767944
2002-05-23,31.50304565
2002-05-24,32.95595703
2002-05-25,34.46499023
2002-05-26,36.93215332
2002-05-27,39.98977051
2002-05-28,43.78286133
2002-05-29,44.77852783
2002-05-30,43.55565796
2002-05-31,38.7182251
2002-06-01,35.89077148
2002-06-02,38.48494873
2002-06-03,36.7282959
2002-06-04,35.74022827
2002-06-05,32.88988647
2002-06-06,33.09176025
2002-06-07,32.5876709
2002-06-08,32.18703613
2002-06-09,32.63222656
2002-06-10,33.4553772
2002-06-11,33.87639771
2002-06-12,35.57161865
2002-06-13,36.58355103
2002-06-14,37.85268555
2002-06-15,40.93917236
2002-06-16,40.82460938
2002-06-17,40.91240845
2002-06-18,37.23687134
2002-06-19,36.92785034
2002-06-20,38.76290283
2002-06-21,38.03518066
2002-06-22,37.31185303
2002-06-23,35.65032349
2002-06-24,34.85823975
2002-06-25,37.47384033
2002-06-26,37.66124878
2002-06-27,36.94542847
2002-06-28,38.61358032
2002-06-29,41.26531372
2002-06-30,42.27510986
2002-07-01,40.79641113
2002-07-02,40.8461853
2002-07-03,37.99764404
2002-07-04,36.55025635
2002-07-05,35.74382935
2002-07-06,37.40667114
2002-07-07,36.30907593
2002-07-08,36.48250732
2002-07-09,35.74151001
2002-07-10,34.2541748
2002-07-11,35.0206543
2002-07-12,36.01821289
2002-07-13,38.77456055
2002-07-14,36.66964111
2002-07-15,37.16854248
2002-07-16,37.04088745
2002-07-17,37.05654297
2002-07-18,38.23031006
2002-07-19,39.0369812
2002-07-20,34.12120972
2002-07-21,35.05291138
2002-07-22,36.25170288
2002-07-23,35.56084595
2002-07-24,37.47033081
2002-07-25,41.28823242
2002-07-26,43.40084229
2002-07-27,36.00618896
2002-07-28,35.78572998
2002-07-29,35.99776611
2002-07-30,40.88155518
2002-07-31,39.58550415
2002-08-01,35.70067749
2002-08-02,37.56453857
2002-08-03,39.56383667
2002-08-04,40.64650879
2002-08-05,39.82717285
2002-08-06,40.49477539
2002-08-07,40.49718628
2002-08-08,37.7602478
2002-08-09,37.66072998
2002-08-10,39.32323608
2002-08-11,38.83760986
2002-08-12,36.93990479
2002-08-13,36.6512085
2002-08-14,36.27849731
2002-08-15,38.2960144
2002-08-16,38.28353271
2002-08-17,38.44207153
2002-08-18,38.78301392
2002-08-19,39.72585449
2002-08-20,40.1737915
2002-08-21,39.27843628
2002-08-22,38.67208252
2002-08-23,37.92052612
2002-08-24,36.17666016
2002-08-25,35.49984131
2002-08-26,36.54735718
2002-08-27,36.79485474
2002-08-28,38.1632019
2002-08-29,38.8411499
2002-08-30,37.49257813
2002-08-31,32.87941895
2002-09-01,33.18630371
2002-09-02,32.99071655
2002-09-03,33.64641724
2002-09-04,34.84603271
2002-09-05,37.11187134
2002-09-06,37.81478271
2002-09-07,34.86773071
2002-09-08,36.14989624
2002-09-09,37.20272217
2002-09-10,41.11257324
2002-09-11,41.34017334
2002-09-12,33.53954468
2002-09-13,30.90212402
2002-09-14,29.49779663
2002-09-15,29.15337524
2002-09-16,27.62868652
2002-09-17,27.31166992
2002-09-18,26.9182373
2002-09-19,30.84920654
2002-09-20,32.89556274
2002-09-21,34.00368652
2002-09-22,33.83260498
2002-09-23,33.53591309
2002-09-24,33.95961914
2002-09-25,33.08486328
2002-09-26,30.8421875
2002-09-27,30.56392822
2002-09-28,33.69765625
2002-09-29,35.71032104
2002-09-30,38.23449097
2002-10-01,34.44307861
2002-10-02,29.22677002
2002-10-03,28.33254395
2002-10-04,27.83010254
2002-10-05,26.11135254
2002-10-06,27.49300537
2002-10-07,27.38182983
2002-10-08,28.50325928
2002-10-09,29.4538208
2002-10-10,31.80932007
2002-10-11,35.17400513
2002-10-12,39.12520752
2002-10-13,40.61132202
2002-10-14,38.46254883
2002-10-15,35.94658813
2002-10-16,34.30861816
2002-10-17,32.30239258
2002-10-18,31.10817871
2002-10-19,36.2239624
2002-10-20,26.72686157
2002-10-21,23.67452393
2002-10-22,21.96611938
2002-10-23,23.00933228
2002-10-24,18.36556396
2002-10-25,23.70702515
2002-10-26,22.90636597
2002-10-27,22.28222046
2002-10-28,22.64562378
2002-10-29,23.07213745
2002-10-30,27.67366943
2002-10-31,24.52367554
2002-11-01,23.44738159
2002-11-02,20.08480225
2002-11-03,22.02593384
2002-11-04,24.16881714
2002-11-05,24.37453613
2002-11-06,22.71837769
2002-11-07,25.96825562
2002-11-08,30.70647583
2002-11-09,32.90285645
2002-11-10,32.20784912
2002-11-11,30.50081787
2002-11-12,33.1291748
2002-11-13,33.63463745
2002-11-14,34.89885864
2002-11-15,33.80309448
2002-11-16,36.74221191
2002-11-17,32.48076782
2002-11-18,34.53304443
2002-11-19,32.11046753
2002-11-20,21.59853516
2002-11-21,18.54610596
2002-11-22,18.98287354
2002-11-23,19.24053345
2002-11-24,21.13063965
2002-11-25,22.68560181
2002-11-26,22.79436646
2002-11-27,20.60112915
2002-11-28,19.36715088
2002-11-29,18.5961853
2002-11-30,19.52434692
2002-12-01,20.10546265
2002-12-02,21.36867676
2002-12-03,26.8996521
2002-12-04,24.82103882
2002-12-05,18.61748657
2002-12-06,16.55901489
2002-12-07,18.04622803
2002-12-08,18.17849121
2002-12-09,19.54876099
2002-12-10,18.13952026
2002-12-11,16.18084106
2002-12-12,14.22792969
2002-12-13,15.62853394
2002-12-14,16.17855225
2002-12-15,17.93041382
2002-12-16,20.08022461
2002-12-17,20.27245483
2002-12-18,19.67702637
2002-12-19,19.78670654
2002-12-20,20.64644775
2002-12-21,24.49569092
2002-12-22,20.60830078
2002-12-23,21.32961426
2002-12-24,20.59060059
2002-12-25,17.14351807
2002-12-26,16.13695679
2002-12-27,16.50353394
2002-12-28,19.35268555
2002-12-29,21.69823608
2002-12-30,17.19899902
2002-12-31,18.48415527
2003-01-01,18.49306641
2003-01-02,17.11968384
2003-01-03,18.5213562
2003-01-04,18.47518311
2003-01-05,18.6418396
2003-01-06,20.0543457
2003-01-07,21.31203613
2003-01-08,19.03533325
2003-01-09,19.23830566
2003-01-10,18.11797485
2003-01-11,18.32943115
2003-01-12,16.87920532
2003-01-13,17.63500366
2003-01-14,17.44411621
2003-01-15,17.91555176
2003-01-16,17.42565308
2003-01-17,17.06688843
2003-01-18,17.54564819
2003-01-19,18.75667725
2003-01-20,18.97045288
2003-01-21,18.54845581
2003-01-22,20.55956421
2003-01-23,16.54851685
2003-01-24,14.51146851
2003-01-25,13.79470215
2003-01-26,17.74743042
2003-01-27,17.49044189
2003-01-28,18.10219727
2003-01-29,20.81905518
2003-01-30,20.92455444
2003-01-31,21.27889404
2003-02-01,20.5697876
2003-02-02,20.7333313
2003-02-03,21.04940186
2003-02-04,21.25713501
2003-02-05,20.47179565
2003-02-06,21.6032959
2003-02-07,21.42275391
2003-02-08,20.56853638
2003-02-09,21.57979736
2003-02-10,22.79674683
2003-02-11,23.4387146
2003-02-12,24.87328491
2003-02-13,24.53182373
2003-02-14,22.8071228
2003-02-15,21.25960693
2003-02-16,23.02492676
2003-02-17,23.03496704
2003-02-18,16.74978027
2003-02-19,22.8081604
2003-02-20,22.90871582
2003-02-21,23.23516235
2003-02-22,23.04125366
2003-02-23,24.56102905
2003-02-24,20.44115601
2003-02-25,18.87587891
2003-02-26,20.26271973
2003-02-27,16.61785278
2003-02-28,16.4210144
2003-03-01,19.03200684
2003-03-02,19.90007935
2003-03-03,21.02736816
2003-03-04,25.03441772
2003-03-05,25.20742188
2003-03-06,18.96682129
2003-03-07,18.50048218
2003-03-08,20.12404785
2003-03-09,23.04790649
2003-03-10,22.97277222
2003-03-11,22.38744507
2003-03-12,26.04812012
2003-03-13,28.69078979
2003-03-14,31.92855225
2003-03-15,33.76876221
2003-03-16,20.53731689
2003-03-17,21.44896851
2003-03-18,23.57216797
2003-03-19,21.4404541
2003-03-20,21.40587769
2003-03-21,26.58220825
2003-03-22,26.77230225
2003-03-23,23.4359375
2003-03-24,21.10915527
2003-03-25,21.51650391
2003-03-26,22.52999268
2003-03-27,32.23967896
2003-03-28,34.0949646
2003-03-29,20.80309448
2003-03-30,22.25371704
2003-03-31,24.71712646
2003-04-01,32.50606689
2003-04-02,38.28939209
2003-04-03,25.4269043
2003-04-04,34.57329712
2003-04-05,41.7708374
2003-04-06,21.10180054
2003-04-07,28.15038452
2003-04-08,27.44799194
2003-04-09,27.71132813
2003-04-10,31.0473877
2003-04-11,37.65178833
2003-04-12,27.66750488
2003-04-13,30.4661499
2003-04-14,33.84981689
2003-04-15,25.66188965
2003-04-16,29.76168213
2003-04-17,26.81313477
2003-04-18,25.47719727
2003-04-19,34.34295044
2003-04-20,34.16018066
2003-04-21,31.61651001
2003-04-22,26.99453125
2003-04-23,30.04754028
2003-04-24,31.99529419
2003-04-25,26.25393066
2003-04-26,26.8081604
2003-04-27,26.68709717
2003-04-28,30.65630493
2003-04-29,34.54140625
2003-04-30,35.44436035
2003-05-01,32.93578491
